work_context,role_seat,region,design_tools,code_in_workflow,anticipated_investment,vibe_coding_ratio,built_own_tool,ai_trust,blockers,workflow_shift,role_outlook,workflow_satisfaction
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude Code, GitHub Copilot, Figma Make, Nanobanana, Figma, Storybook, Claude, Copilot (Microsoft), Gemini, Jira, Microsoft Teams, FigJam","I use AI or no-code to generate code, I review or inspect code but don't write it, I write production code, Code isn't part of my workflow","AI-generated coding, Canvas design tools, Design systems & tokens",None,"No, and I don't plan to",First drafts I heavily edit,"Too many tools, unclear which to commit, Budget or procurement friction, Security or compliance policy","Added new tools, AI included","Less secure, AI is changing what's expected of me",9.0
Independent or freelance,Designer (Individual contributor),Western Europe,"Recraft, Figma, Canva, Gemini, Jitter, Notion, Framer",I use AI or no-code to generate code,"AI-generated coding, No-code tools (not AI), Design systems & tokens",Occasionally,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",5.0
Mid-size in-house (101–999),Design manager or director,Western Europe,"Claude Cowork, Claude Code, Claude, Figma, Gemini, Lovable, v0 (Vercel)",I use AI or no-code to generate code,"AI-generated coding, Image generation, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, Engineering team constraints, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Figma, ChatGPT, Claude, Jira, Microsoft Teams","I review or inspect code but don't write it, Code isn't part of my workflow",No major changes planned,None,"No, and I don't plan to",Ships with minor tweaks,"Other: , Time to learn new tools",Mostly the same,Honestly not sure,5.0
Independent or freelance,Designer (Individual contributor),North America,"Figma, Framer, Wix, Notion, Google Meet, Zoom",Code isn't part of my workflow,"Design systems & tokens, No-code tools (not AI), Agent workflows & automations",None,"No, but I want to",Exploration and brainstorming only,Other:,"Still in flux, changing often",Honestly not sure,6.0
Startup in-house (2–100),"Non-designer who designs (e.g. PM, founder)",North America,"Lovable, Magic Patterns, Figma Make, Figma, Google Meet, Slack, Zoom",Code isn't part of my workflow,No major changes planned,None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included",About the same,7.0
Startup in-house (2–100),Lead or principal,Northern Africa,"Figma, Claude, Nanobanana, Canva, Penpot, Jitter, Google Meet, Slack, tldraw, Whimsical",Code isn't part of my workflow,"Manual coding, No-code tools (not AI), Video, motion, & 3D",None,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction","Added new tools, AI included","More valuable, my skills matter more than before",5.0
Independent or freelance,Designer (Individual contributor),Eastern Europe,"Figma, Framer, Claude, Claude Code, Claude Cowork, Perplexity, Slack","I use AI or no-code to generate code, Code isn't part of my workflow","AI-generated coding, Agent workflows & automations, Video, motion, & 3D",None,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included",About the same,10.0
Startup in-house (2–100),Lead or principal,Australia & New Zealand,"Figma, Miro, Claude, Copilot (Microsoft), Cursor, Jira, Notion",Code isn't part of my workflow,"Design systems & tokens, AI-generated coding, Manual coding",None,"Yes, I build personal tools regularly",I don't use AI output in my work,"Budget or procurement friction, Security or compliance policy","Added new tools, AI included",About the same,8.0
Agency or consulting,Designer (Individual contributor),Australia & New Zealand,"Claude Cowork, Claude Code, Figma Make, Leonardo AI, Figma, Paper, Storybook, ChatGPT, Claude, Perplexity, Obsidian, Microsoft Teams, Slack, Hotjar, Miro","I use AI or no-code to generate code, I review or inspect code but don't write it, I hand-code prototypes but not production","Canvas design tools, Video, motion, & 3D, Agent workflows & automations",Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,Security or compliance policy,AI is now central — major shift,"More valuable, my skills matter more than before",7.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),South Asia,"Make, Lovable, Claude Code, Figma, Jitter","I use AI or no-code to generate code, Code isn't part of my workflow","Design systems & tokens, AI-generated coding, Canvas design tools",None,"No, but I want to",First drafts I heavily edit,"Budget or procurement friction, Too many tools, unclear which to commit, Time to learn new tools",AI is now central — major shift,"Less secure, AI is changing what's expected of me",6.0
"Enterprise in-house (1,000+)",Design manager or director,North America,"Cursor, Claude Cowork, Claude, Claude Code",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Simplifying my stack",Nearly all of it,"Yes, once or twice",Working output I review before shipping,"Time to learn new tools, Security or compliance policy, AI output quality isn't reliable enough","Added new tools, AI included",About the same,6.0
"Student, educator, or between roles",Researcher,North America,"Figma, Runway, ChatGPT, Claude, Copilot (Microsoft), Gemini, Perplexity, After Effects, Jitter, LottieFiles, Spline, Monday.com, Notion, Slack, Zoom, Microsoft Teams, Framer, FigJam, Miro, FLORA, Nanobanana",I review or inspect code but don't write it,"AI-generated coding, Video, motion, & 3D, Simplifying my stack",Nearly all of it,"No, but I want to",Exploration and brainstorming only,AI output quality isn't reliable enough,"Added new tools, AI included","More valuable, my skills matter more than before",7.0
Startup in-house (2–100),"Non-designer who designs (e.g. PM, founder)",Western Europe,"Figma, OpenAI Codex, Subframe, Jira, Slack, tldraw, Excalidraw, FigJam",I write production code,"Design systems & tokens, Simplifying my stack",None,"Yes, once or twice",I don't use AI output in my work,Security or compliance policy,"Added new tools, AI included",About the same,6.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Figma, Figma Make, Adobe Firefly, ChatGPT, Claude, Gemini, After Effects, Jira, Notion, Trello, Google Meet, Microsoft Teams, Zoom, FigJam, Miro","I use AI or no-code to generate code, Code isn't part of my workflow","Manual coding, AI-generated coding, No-code tools (not AI)",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough",Consolidated into fewer tools,Honestly not sure,8.0
Mid-size in-house (101–999),Designer (Individual contributor),Southeast Asia,"Claude Code, Figma Make, Figma, Claude, ChatGPT, Gemini, Jira, Google Meet, Slack, Maze, Excalidraw","I hand-code prototypes but not production, Code isn't part of my workflow","Canvas design tools, Agent workflows & automations, Simplifying my stack",None,"No, but I want to",Working output I review before shipping,"Budget or procurement friction, Too many tools, unclear which to commit, Time to learn new tools",AI is now central — major shift,Honestly not sure,7.0
Agency or consulting,Designer (Individual contributor),Australia & New Zealand,"Google Stitch, Google Firebase Studio, Magic Patterns, Claude Code, Cursor, FLORA, Nanobanana, Figma, Paper, ChatGPT, Claude, Grok, Gemini, Perplexity, Discord, Microsoft Teams, Framer, Webflow","I use AI or no-code to generate code, I review or inspect code but don't write it, I hand-code prototypes but not production","AI-generated coding, No-code tools (not AI), Canvas design tools",About half,"Yes, once or twice",Working output I review before shipping,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit","Still in flux, changing often",About the same,6.0
Agency or consulting,Designer (Individual contributor),Central Asia,"Lovable, v0 (Vercel), Adobe Firefly, Canva, Figma, Gemini, ChatGPT, Trello, Slack, Zoom, Microsoft Teams, Miro","I use AI or no-code to generate code, Code isn't part of my workflow","Image generation, Agent workflows & automations, AI-generated coding",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",7.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Figma, Claude","I use AI or no-code to generate code, I hand-code prototypes but not production","AI-generated coding, Agent workflows & automations",Occasionally,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Time to learn new tools","Still in flux, changing often","Less secure, AI is changing what's expected of me",7.0
Independent or freelance,Design engineer,Eastern Europe,"Claude Code, Claude, Framer, Figma, Slack, Discord, Notion, Gemini, Paper","I write production code, I use AI or no-code to generate code","AI-generated coding, Canvas design tools, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",Full trust without oversight,"Time to learn new tools, Budget or procurement friction, Security or compliance policy",AI is now central — major shift,Honestly not sure,8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Google Meet, Hotjar, Miro, Google Slides, Jira, Gemini, Claude, ChatGPT, Perplexity, Figma, Figma Make, UX Pilot, Cursor, v0 (Vercel)",I use AI or no-code to generate code,"Agent workflows & automations, AI-generated coding, Manual coding",Nearly all of it,"Yes, once or twice",Working output I review before shipping,"Security or compliance policy, AI output quality isn't reliable enough, Engineering team constraints","Still in flux, changing often","More valuable, my skills matter more than before",7.0
Startup in-house (2–100),Lead or principal,Northern Europe,"Claude Cowork, Lovable, Nanobanana, Figma, ChatGPT, Claude, Gemini, After Effects, LottieFiles, Spline, Jira, Notion, Slack, FigJam",Code isn't part of my workflow,"Design systems & tokens, AI-generated coding, Agent workflows & automations",None,"No, but I want to",Exploration and brainstorming only,Engineering team constraints,"Added new tools, AI included","Less secure, AI is changing what's expected of me",9.0
"Enterprise in-house (1,000+)",Lead or principal,Australia & New Zealand,"Claude Code, Cursor, Figma Make, Figma, Storybook, Gemini, Rive, Jira, Google Slides, Google Meet, Microsoft Teams, Slack, Maze, Lucidchart","I hand-code prototypes but not production, I review or inspect code but don't write it","AI-generated coding, Canvas design tools, Video, motion, & 3D",Nearly all of it,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Still in flux, changing often",Honestly not sure,4.0
Agency or consulting,Designer (Individual contributor),North America,"Claude Code, Midjourney, Nanobanana, Figma, Claude, LottieFiles, Slack, FigJam",I use AI or no-code to generate code,"Image generation, AI-generated coding, Video, motion, & 3D",Occasionally,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Still in flux, changing often","Less secure, AI is changing what's expected of me",5.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Claude Code, Figma, OpenAI Codex, Claude, Gemini, ChatGPT","I write production code, I hand-code prototypes but not production, I use AI or no-code to generate code","AI-generated coding, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,,AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Agency or consulting,Lead or principal,North America,"Claude Cowork, Claude Code, Conductor, Gemini CLI, Google Antigravity, Figma Make, Cursor, Nanobanana, Figma, Sketch, Paper, Copilot (Microsoft), Gemini, Claude, Jitter, Notion, Obsidian, Microsoft Teams, Discord, FigJam, Miro, Lucidchart",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Simplifying my stack",About half,"Yes, I build personal tools regularly",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Budget or procurement friction","Added new tools, AI included","Less secure, AI is changing what's expected of me",4.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Northern Europe,"Framer, Figma, Claude, Claude Code, Rive, Jitter, Adobe Firefly, Copilot (Microsoft), Spline, Jira, Microsoft Teams, Slack, UserTesting, Miro","I use AI or no-code to generate code, I review or inspect code but don't write it","No-code tools (not AI), AI-generated coding, Design systems & tokens",Most of it,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough","Still in flux, changing often",About the same,7.0
Startup in-house (2–100),Designer (Individual contributor),Western Europe,"Figma, Claude Code, Notion, Slack",Code isn't part of my workflow,"Design systems & tokens, Video, motion, & 3D, AI-generated coding",None,"No, but I want to",Exploration and brainstorming only,"Security or compliance policy, AI output quality isn't reliable enough, Budget or procurement friction","Added new tools, AI included",About the same,9.0
Independent or freelance,Designer (Individual contributor),East Africa,"Claude Cowork, Bolt.new, Replit, v0 (Vercel), Figma Make, UX Pilot, Midjourney, Leonardo AI, Nanobanana, Figma, Builder.io, Claude, ChatGPT, Gemini, Jitter, ClickUp, Obsidian, Google Slides, Google Meet, Zoom, Slack, Hotjar, Framer, FigJam, Miro",I use AI or no-code to generate code,"AI-generated coding, No-code tools (not AI), Video, motion, & 3D",About half,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough","Added new tools, AI included","More valuable, my skills matter more than before",9.0
Independent or freelance,"Non-designer who designs (e.g. PM, founder)",North America,"Claude Cowork, Bolt.new, Magic Patterns, UX Pilot, Figma, ChatGPT, Claude, Perplexity, Linear",I use AI or no-code to generate code,"Design systems & tokens, AI-generated coding, Agent workflows & automations",Most of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"AI output quality isn't reliable enough, Time to learn new tools, Too many tools, unclear which to commit",AI is now central — major shift,"More valuable, my skills matter more than before",7.0
Mid-size in-house (101–999),Designer (Individual contributor),Eastern Europe,"Figma Make, Figma, ChatGPT",I use AI or no-code to generate code,"AI-generated coding, Image generation",None,"No, but I want to",First drafts I heavily edit,"AI output quality isn't reliable enough, Time to learn new tools, Budget or procurement friction","Added new tools, AI included","Less secure, AI is changing what's expected of me",6.0
Startup in-house (2–100),Designer (Individual contributor),Eastern Europe,"UX Pilot, Claude Code",Code isn't part of my workflow,"AI-generated coding, Image generation, Design systems & tokens",None,"Yes, once or twice",Working output I review before shipping,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools","Added new tools, AI included","Less secure, AI is changing what's expected of me",7.0
Startup in-house (2–100),Design manager or director,East Asia,"Claude Code, ChatGPT, Adobe Firefly, Claude",I use AI or no-code to generate code,AI-generated coding,Occasionally,"No, but I want to",Ships with minor tweaks,"Budget or procurement friction, Security or compliance policy, Time to learn new tools","Added new tools, AI included",About the same,5.0
"Student, educator, or between roles",Lead or principal,Northern Europe,"v0 (Vercel), OpenAI Codex, Figma, ChatGPT, Notion, Google Meet, Microsoft Teams, FigJam, Affinity",I use AI or no-code to generate code,"AI-generated coding, Design systems & tokens",Most of it,"No, and I don't plan to",First drafts I heavily edit,"Budget or procurement friction, Security or compliance policy, Time to learn new tools",AI is now central — major shift,"More valuable, my skills matter more than before",4.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Figma, Claude, ChatGPT, Jira, Slack, Maze","I review or inspect code but don't write it, Code isn't part of my workflow","Video, motion, & 3D, Image generation, AI-generated coding",None,"No, but I want to",Exploration and brainstorming only,"Security or compliance policy, Time to learn new tools",Mostly the same,About the same,8.0
Startup in-house (2–100),Lead or principal,Australia & New Zealand,"Cursor, Figma Make, Figma, Claude",I use AI or no-code to generate code,"Design systems & tokens, Agent workflows & automations, AI-generated coding",Nearly all of it,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Budget or procurement friction, Time to learn new tools, Security or compliance policy",AI is now central — major shift,Honestly not sure,4.0
Independent or freelance,Design engineer,Southern Europe,"OpenCode, Gemini, ChatGPT, OpenAI Codex, Google Antigravity, GitHub Copilot, Nanobanana","I use AI or no-code to generate code, I review or inspect code but don't write it, I write production code","Video, motion, & 3D, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",First drafts I heavily edit,AI output quality isn't reliable enough,AI is now central — major shift,"Less secure, AI is changing what's expected of me",7.0
Startup in-house (2–100),Designer (Individual contributor),Western Asia (Middle East),"Base44, Figma Make, Figma, ChatGPT, Copilot (Microsoft), LottieFiles, Notion, Jira, Microsoft Teams, Google Meet, Hotjar, Maze, Framer, Wix","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, No-code tools (not AI)",Most of it,"Yes, once or twice",Working output I review before shipping,"Security or compliance policy, AI output quality isn't reliable enough","Added new tools, AI included",About the same,7.0
Startup in-house (2–100),Designer (Individual contributor),South Asia,Claude Code,I hand-code prototypes but not production,"No-code tools (not AI), AI-generated coding",Most of it,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit",AI is now central — major shift,"More valuable, my skills matter more than before",6.0
Agency or consulting,Designer (Individual contributor),South Asia,"Figma, Lovable, Framer, Google Meet, Perplexity, Gemini, Claude, ChatGPT, Figma Make",Code isn't part of my workflow,"Video, motion, & 3D, No-code tools (not AI), Design systems & tokens",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough","Added new tools, AI included","Less secure, AI is changing what's expected of me",3.0
"Student, educator, or between roles",Designer (Individual contributor),Northern Africa,"Claude Code, Conductor, Midjourney, Nanobanana, Figma, Paper, ChatGPT, Slack",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",Ships with minor tweaks,"Too many tools, unclear which to commit, AI output quality isn't reliable enough",AI is now central — major shift,Honestly not sure,7.0
Independent or freelance,Designer (Individual contributor),West Africa,"Figma, Figma Make","I hand-code prototypes but not production, I use AI or no-code to generate code","Manual coding, No-code tools (not AI), Simplifying my stack",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Security or compliance policy, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included",Honestly not sure,6.0
Startup in-house (2–100),Lead or principal,North America,"Figma, Figma Make, Copilot (Microsoft), Gemini","I use AI or no-code to generate code, Code isn't part of my workflow","No-code tools (not AI), Design systems & tokens, Canvas design tools",None,"No, but I want to",First drafts I heavily edit,"Security or compliance policy, AI output quality isn't reliable enough, Budget or procurement friction","Added new tools, AI included",About the same,4.0
Startup in-house (2–100),Design manager or director,North America,"Claude Code, Claude, Mobbin, Figma, FigJam, Figma Make, Gemini","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Agent workflows & automations, Simplifying my stack",Occasionally,"Yes, I build personal tools regularly",Working output I review before shipping,"Security or compliance policy, Too many tools, unclear which to commit, Time to learn new tools","Added new tools, AI included",About the same,4.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Figma Make, Figma, Claude, FigJam, UserTesting",I review or inspect code but don't write it,"Canvas design tools, Video, motion, & 3D, AI-generated coding",About half,"Yes, once or twice",Exploration and brainstorming only,"Too many tools, unclear which to commit, Security or compliance policy, Budget or procurement friction","Still in flux, changing often",About the same,7.0
Agency or consulting,Lead or principal,Northern Europe,"Claude, Figma, Jitter, Midjourney, Nanobanana",I use AI or no-code to generate code,"Canvas design tools, Image generation, Agent workflows & automations",About half,"Yes, once or twice",First drafts I heavily edit,"Engineering team constraints, AI output quality isn't reliable enough, Time to learn new tools",AI is now central — major shift,"Less secure, AI is changing what's expected of me",7.0
Independent or freelance,Designer (Individual contributor),Western Europe,"Figma, Framer, Gemini","I hand-code prototypes but not production, I use AI or no-code to generate code","Image generation, No-code tools (not AI), Design systems & tokens",Occasionally,"No, and I don't plan to",Exploration and brainstorming only,Time to learn new tools,"Added new tools, AI included","More valuable, my skills matter more than before",8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Microsoft Teams, Copilot (Microsoft), Figma",Code isn't part of my workflow,Canvas design tools,None,"Yes, once or twice",First drafts I heavily edit,"AI output quality isn't reliable enough, Other: Stakeholders not understanding that just because AI produced nice looking things doesn’t mean we can skip a lot of important stages of design.",AI is now central — major shift,"More valuable, my skills matter more than before",4.0
Independent or freelance,Designer (Individual contributor),South Asia,"Claude, Gemini, Google Antigravity, Figma, Cursor, Nanobanana, Framer, Excalidraw, Miro",I use AI or no-code to generate code,"Agent workflows & automations, No-code tools (not AI), AI-generated coding",Occasionally,"No, but I want to",First drafts I heavily edit,"Budget or procurement friction, Time to learn new tools, AI output quality isn't reliable enough",Consolidated into fewer tools,"Less secure, AI is changing what's expected of me",2.0
Startup in-house (2–100),Design engineer,Eastern Europe,"Claude Code, OpenCode, Zed, Adobe Firefly, Midjourney, Nanobanana, Figma, Paper, Claude, Gemini, After Effects, Google Meet, Slack, UserTesting, Excalidraw, FigJam, Miro, TheBicycle42, ListenLabs","I hand-code prototypes but not production, I write production code","Manual coding, AI-generated coding, Canvas design tools",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"Budget or procurement friction, Security or compliance policy, Engineering team constraints","Added new tools, AI included",About the same,8.0
Independent or freelance,Design engineer,North America,"Figma Make, Figma, Claude Code, Conductor, Paper, Agentation, v0 (Vercel), Notion, Inflight, CleanShot X, Superwhisper",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Simplifying my stack",Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Security or compliance policy, AI output quality isn't reliable enough, Time to learn new tools",AI is now central — major shift,Honestly not sure,7.0
Mid-size in-house (101–999),Lead or principal,Northern Europe,"Figma, Lovable, ChatGPT, Claude, Figma Make, Perplexity, NotebookLM, Slack, Google Meet, Jira, Confluence, Gemini",I use AI or no-code to generate code,"AI-generated coding, No-code tools (not AI), Agent workflows & automations",Occasionally,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, Engineering team constraints",Mostly the same,"More valuable, my skills matter more than before",7.0
Independent or freelance,Designer (Individual contributor),North America,"Adobe Illustrator, Adobe InDesign, Affinity, ChatGPT, Sublime Text, Google Docs, Google Meet, Zoom","I hand-code prototypes but not production, Code isn't part of my workflow","Simplifying my stack, No-code tools (not AI), Manual coding",None,"No, but I want to",Exploration and brainstorming only,"Too many tools, unclear which to commit, Time to learn new tools, Budget or procurement friction","Still in flux, changing often","Less secure, AI is changing what's expected of me",3.0
Agency or consulting,Design engineer,Eastern Europe,"Claude Code, Figma Make, Paper, Figma, Storybook, Claude, Gemini",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Design systems & tokens",Nearly all of it,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Startup in-house (2–100),Design engineer,North America,"Claude Code, Cursor, Framer, Notion, Figma, ChatGPT, Perplexity, Posthog, Slack, Midjourney",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Video, motion, & 3D",Nearly all of it,"Yes, I build personal tools regularly",Ships with minor tweaks,"Too many tools, unclear which to commit, Time to learn new tools","Still in flux, changing often","More valuable, my skills matter more than before",8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Eastern Europe,Figma,Code isn't part of my workflow,"No major changes planned, Design systems & tokens",None,"No, and I don't plan to",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough",Mostly the same,"Less secure, AI is changing what's expected of me",4.0
Startup in-house (2–100),Designer (Individual contributor),Western Europe,"Lovable, Claude, Bolt.new, ChatGPT, Perplexity, Figma",I use AI or no-code to generate code,"Agent workflows & automations, AI-generated coding, Simplifying my stack",Most of it,"Yes, once or twice",Exploration and brainstorming only,"Budget or procurement friction, Security or compliance policy, AI output quality isn't reliable enough","Still in flux, changing often",Honestly not sure,3.0
Agency or consulting,Designer (Individual contributor),Southeast Asia,"Claude, ChatGPT","I hand-code prototypes but not production, I review or inspect code but don't write it","AI-generated coding, Agent workflows & automations, Image generation",Occasionally,"Yes, I build personal tools regularly",Exploration and brainstorming only,Engineering team constraints,"Added new tools, AI included","More valuable, my skills matter more than before",6.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Figma, Claude Code, Claude, ChatGPT, Cursor",I use AI or no-code to generate code,"Agent workflows & automations, AI-generated coding",Most of it,"Yes, once or twice",First drafts I heavily edit,"Security or compliance policy, Engineering team constraints",AI is now central — major shift,About the same,6.0
Mid-size in-house (101–999),Design manager or director,North America,"OpenClaw, Claude Code, Windsurf, Figma Make, Nanobanana, Figma, Storybook, ChatGPT, Claude, Linear, Notion, Obsidian, Google Slides, Slack, Zoom, Great Question, Framer, FigJam, Lovable, Zed","I use AI or no-code to generate code, I review or inspect code but don't write it","Agent workflows & automations, No-code tools (not AI), AI-generated coding",Nearly all of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, AI output quality isn't reliable enough, Security or compliance policy",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Independent or freelance,Designer (Individual contributor),West Africa,"Figma, Figma Make, ChatGPT, Claude",Code isn't part of my workflow,"AI-generated coding, Design systems & tokens, No-code tools (not AI)",None,"No, but I want to",First drafts I heavily edit,Time to learn new tools,AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Make, Figma Make, Figma, Gemini, Notion, Microsoft Teams, Miro",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Budget or procurement friction, Security or compliance policy","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Mid-size in-house (101–999),Designer (Individual contributor),West Africa,"Figma Make, Gemini",I use AI or no-code to generate code,Design systems & tokens,None,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, Security or compliance policy","Added new tools, AI included","Less secure, AI is changing what's expected of me",4.0
Mid-size in-house (101–999),Lead or principal,Eastern Europe,"Figma, Claude, Gemini, Lovable, Notebook LM, Google Slides",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Simplifying my stack",Occasionally,"No, but I want to",Working output I review before shipping,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough","Added new tools, AI included","Less secure, AI is changing what's expected of me",3.0
Mid-size in-house (101–999),Designer (Individual contributor),Southeast Asia,"Figma, FigJam, Figma Make, Claude",I review or inspect code but don't write it,"AI-generated coding, Image generation",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit",Mostly the same,"Less secure, AI is changing what's expected of me",2.0
Agency or consulting,Designer (Individual contributor),South Asia,"Figma, Claude Cowork, Claude Code, Obsidian","I use AI or no-code to generate code, Code isn't part of my workflow","Manual coding, AI-generated coding, Agent workflows & automations",None,"No, but I want to",Working output I review before shipping,"Security or compliance policy, Too many tools, unclear which to commit",AI is now central — major shift,Honestly not sure,4.0
Startup in-house (2–100),Designer (Individual contributor),West Africa,"Claude Code, FLORA, Figma, ChatGPT, Claude, Google Meet, Microsoft Teams, Slack, Webflow",I write production code,"No-code tools (not AI), AI-generated coding",Occasionally,"No, but I want to",Working output I review before shipping,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough","Added new tools, AI included",About the same,5.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Cursor, Figma, Gemini, Slack, FigJam","I use AI or no-code to generate code, I hand-code prototypes but not production",AI-generated coding,About half,"No, but I want to",Exploration and brainstorming only,"Budget or procurement friction, Security or compliance policy, Engineering team constraints",AI is now central — major shift,"More valuable, my skills matter more than before",7.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Claude Cowork, Claude Code, Figma, Figma Make, Conductor, Cursor, Jira, Jitter, Linear, Claude, OpenAI Codex, Paper, Obsidian, Google Meet, Slack, UserTesting, FigJam","I hand-code prototypes but not production, I use AI or no-code to generate code","AI-generated coding, Canvas design tools, Agent workflows & automations",Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,Security or compliance policy,"Added new tools, AI included","More valuable, my skills matter more than before",10.0
Startup in-house (2–100),Lead or principal,North America,"Claude Code, Figma Make, Figma, ChatGPT, Lovable","I use AI or no-code to generate code, I review or inspect code but don't write it, I hand-code prototypes but not production","Design systems & tokens, Agent workflows & automations",Most of it,"Yes, once or twice",First drafts I heavily edit,AI output quality isn't reliable enough,AI is now central — major shift,"Less secure, AI is changing what's expected of me",7.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Figma, Figma Make, ChatGPT, Anything",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Simplifying my stack",Occasionally,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",8.0
